Report Date:,04/08/2023 12:11:29
Report User Name:,s0678844
Report Computer Name:,SCE-CHEM-C01300
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,Wag_Res_1_tea_2023-08-04_12-11-21-667.wsl
Create Date,04/08/2023 12:11:19

Device Properties
Device,Rugged TROLL 100
Site,Langwell
Device Name, 
Serial Number,919950
Firmware Version,1.06
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,0

Log Configuration
,Log Name,Wag_Res_1_tea
,Created By,s0678844
,Computer Name,SCE-CHEM-C01300
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,02/08/2022 23:20:10 GMT Daylight Time
,Log Setup Time Zone,GMT Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,03/08/2022 22:00:00 GMT Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Level Depth To Water
,              Specific Gravity,0.999
,                Level Reminder:,Enabled
,          Level Reference Mode:,Unknown
,         Level Reference Value:,3.40282e+38 (mm)
, Level Reference Head Pressure,0 (mmHg)


Other Log Settings
,Depth of Probe:,10005 (mm)
,Head Pressure:,735.193 (mmHg)
,Temperature:,25.6001 (C)



Log Notes:
Date and Time,Note
02/08/2022 23:20:22,Used Battery: 0% Used Memory: 3%   User Name: s0678844
03/08/2022 13:45:46,Sensor SN: 919950 Level calibration.
,Set new reference: 415
,Depth: 9918.85(mm)
,Level Reference Head Pressure: 728.86(mmHg)
,Pressure Offset: 0(mmHg)
,Temperature: 18.8742(C)
,User Name: s0678844
04/08/2023 12:07:40,Log Download - Used Battery: 7% Used Memory: 9%   User Name: s0678844


Log Data:
Record Count,8775

Sensors,1

 ,1,919950,Pressure/Temp PSIA (9m/30ft)

Time Zone: GMT Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 919950                             ,SN#: 919950                             ,SN#: 919950                             ,
06/08/2022 00:00:00,  180000.000,                                 799.592,                                  10.758,                                -547.568,
06/08/2022 01:00:00,  183600.000,                                 799.837,                                  10.758,                                -550.899,
06/08/2022 02:00:00,  187200.000,                                 799.551,                                  10.758,                                -547.013,
06/08/2022 03:00:00,  190800.000,                                 799.642,                                  10.811,                                -548.244,
06/08/2022 04:00:00,  194400.000,                                 799.356,                                  10.811,                                -544.355,
06/08/2022 05:00:00,  198000.000,                                 799.152,                                  10.811,                                -541.580,
06/08/2022 06:00:00,  201600.000,                                 799.306,                                  10.758,                                -543.682,
06/08/2022 07:00:00,  205200.000,                                 799.388,                                  10.758,                                -544.792,
06/08/2022 08:00:00,  208800.000,                                 799.437,                                  10.811,                                -545.467,
06/08/2022 09:00:00,  212400.000,                                 799.755,                                  10.758,                                -549.789,
06/08/2022 10:00:00,  216000.000,                                 799.878,                                  10.758,                                -551.454,
06/08/2022 11:00:00,  219600.000,                                 799.805,                                  10.811,                                -550.464,
06/08/2022 12:00:00,  223200.000,                                 800.122,                                  10.758,                                -554.785,
06/08/2022 13:00:00,  226800.000,                                 800.784,                                  10.811,                                -563.786,
06/08/2022 14:00:00,  230400.000,                                 801.029,                                  10.811,                                -567.118,
06/08/2022 15:00:00,  234000.000,                                 802.008,                                  10.811,                                -580.442,
06/08/2022 16:00:00,  237600.000,                                 804.088,                                  10.811,                                -608.756,
06/08/2022 17:00:00,  241200.000,                                 806.414,                                  10.811,                                -640.401,
06/08/2022 18:00:00,  244800.000,                                 806.781,                                  10.811,                                -645.399,
06/08/2022 19:00:00,  248400.000,                                 807.157,                                  10.863,                                -650.519,
06/08/2022 20:00:00,  252000.000,                                 807.148,                                  10.811,                                -650.396,
06/08/2022 21:00:00,  255600.000,                                 806.658,                                  10.811,                                -643.734,
06/08/2022 22:00:00,  259200.000,                                 806.046,                                  10.811,                                -635.405,
06/08/2022 23:00:00,  262800.000,                                 805.842,                                  10.811,                                -632.629,
07/08/2022 00:00:00,  266400.000,                                 805.230,                                  10.811,                                -624.301,
07/08/2022 01:00:00,  270000.000,                                 804.782,                                  10.811,                                -618.194,
07/08/2022 02:00:00,  273600.000,                                 804.088,                                  10.811,                                -608.756,
07/08/2022 03:00:00,  277200.000,                                 803.803,                                  10.811,                                -604.870,
07/08/2022 04:00:00,  280800.000,                                 804.138,                                  10.863,                                -609.433,
07/08/2022 05:00:00,  284400.000,                                 803.998,                                  10.758,                                -607.524,
07/08/2022 06:00:00,  288000.000,                                 804.333,                                  10.811,                                -612.088,
07/08/2022 07:00:00,  291600.000,                                 804.578,                                  10.811,                                -615.419,
07/08/2022 08:00:00,  295200.000,                                 804.578,                                  10.811,                                -615.419,
07/08/2022 09:00:00,  298800.000,                                 804.700,                                  10.811,                                -617.085,
07/08/2022 10:00:00,  302400.000,                                 804.863,                                  10.811,                                -619.306,
07/08/2022 11:00:00,  306000.000,                                 804.986,                                  10.811,                                -620.971,
07/08/2022 12:00:00,  309600.000,                                 805.280,                                  10.863,                                -624.977,
07/08/2022 13:00:00,  313200.000,                                 804.945,                                  10.811,                                -620.415,
07/08/2022 14:00:00,  316800.000,                                 805.312,                                  10.811,                                -625.412,
07/08/2022 15:00:00,  320400.000,                                 805.108,                                  10.811,                                -622.636,
07/08/2022 16:00:00,  324000.000,                                 805.117,                                  10.863,                                -622.756,
07/08/2022 17:00:00,  327600.000,                                 804.995,                                  10.863,                                -621.091,
07/08/2022 18:00:00,  331200.000,                                 805.230,                                  10.811,                                -624.301,
07/08/2022 19:00:00,  334800.000,                                 805.149,                                  10.811,                                -623.192,
07/08/2022 20:00:00,  338400.000,                                 805.230,                                  10.811,                                -624.301,
07/08/2022 21:00:00,  342000.000,                                 805.720,                                  10.811,                                -630.966,
07/08/2022 22:00:00,  345600.000,                                 805.557,                                  10.811,                                -628.743,
07/08/2022 23:00:00,  349200.000,                                 806.096,                                  10.863,                                -636.082,
08/08/2022 00:00:00,  352800.000,                                 806.291,                                  10.811,                                -638.737,
