Report Date:,04/08/2023 11:09:02
Report User Name:,s0678844
Report Computer Name:,SCE-CHEM-C01300
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,Morven_Dam_1_Tea_2023-08-04_11-08-53-735.wsl
Create Date,04/08/2023 11:08:51

Device Properties
Device,Rugged TROLL 100
Site,Langwell
Device Name, 
Serial Number,923600
Firmware Version,1.06
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,0

Log Configuration
,Log Name,Morven_Dam_1_Tea
,Created By,s0678844
,Computer Name,SCE-CHEM-C01300
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,02/08/2022 23:14:49 GMT Daylight Time
,Log Setup Time Zone,GMT Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,03/08/2022 22:00:00 GMT Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Level Depth To Water
,              Specific Gravity,0.999
,                Level Reminder:,Enabled
,          Level Reference Mode:,Unknown
,         Level Reference Value:,3.40282e+38 (mm)
, Level Reference Head Pressure,0 (mmHg)


Other Log Settings
,Depth of Probe:,10009.1 (mm)
,Head Pressure:,735.491 (mmHg)
,Temperature:,25.7182 (C)



Log Notes:
Date and Time,Note
02/08/2022 23:15:02,Used Battery: 0% Used Memory: 3%   User Name: s0678844
03/08/2022 12:28:03,Sensor SN: 923600 Level calibration.
,Set new reference: 900
,Depth: 9903.25(mm)
,Level Reference Head Pressure: 727.714(mmHg)
,Pressure Offset: 0(mmHg)
,Temperature: 17.3524(C)
,User Name: s0678844
04/08/2023 11:06:52,Log Download - Used Battery: 7% Used Memory: 9%   User Name: s0678844


Log Data:
Record Count,8774

Sensors,1

 ,1,923600,Pressure/Temp PSIA (9m/30ft)

Time Zone: GMT Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 923600                             ,SN#: 923600                             ,SN#: 923600                             ,
05/08/2022 23:00:00,  176400.000,                                 745.549,                                  11.042,                                 657.291,
06/08/2022 00:00:00,  180000.000,                                 745.686,                                  11.093,                                 655.430,
06/08/2022 01:00:00,  183600.000,                                 745.676,                                  11.042,                                 655.555,
06/08/2022 02:00:00,  187200.000,                                 745.975,                                  11.042,                                 651.496,
06/08/2022 03:00:00,  190800.000,                                 745.804,                                  11.042,                                 653.815,
06/08/2022 04:00:00,  194400.000,                                 745.506,                                  11.042,                                 657.872,
06/08/2022 05:00:00,  198000.000,                                 745.591,                                  11.042,                                 656.712,
06/08/2022 06:00:00,  201600.000,                                 745.336,                                  11.042,                                 660.187,
06/08/2022 07:00:00,  205200.000,                                 745.421,                                  11.042,                                 659.026,
06/08/2022 08:00:00,  208800.000,                                 745.719,                                  11.042,                                 654.972,
06/08/2022 09:00:00,  212400.000,                                 746.273,                                  11.042,                                 647.440,
06/08/2022 10:00:00,  216000.000,                                 745.634,                                  11.042,                                 656.132,
06/08/2022 11:00:00,  219600.000,                                 745.889,                                  11.042,                                 652.655,
06/08/2022 12:00:00,  223200.000,                                 745.728,                                  11.093,                                 654.850,
06/08/2022 13:00:00,  226800.000,                                 745.762,                                  11.042,                                 654.394,
06/08/2022 14:00:00,  230400.000,                                 745.686,                                  11.093,                                 655.430,
06/08/2022 15:00:00,  234000.000,                                 745.762,                                  11.042,                                 654.394,
06/08/2022 16:00:00,  237600.000,                                 746.589,                                  11.145,                                 643.138,
06/08/2022 17:00:00,  241200.000,                                 747.610,                                  11.145,                                 629.238,
06/08/2022 18:00:00,  244800.000,                                 748.419,                                  11.145,                                 618.226,
06/08/2022 19:00:00,  248400.000,                                 749.952,                                  11.145,                                 597.369,
06/08/2022 20:00:00,  252000.000,                                 750.889,                                  11.145,                                 584.623,
06/08/2022 21:00:00,  255600.000,                                 751.740,                                  11.145,                                 573.036,
06/08/2022 22:00:00,  259200.000,                                 752.208,                                  11.145,                                 566.662,
06/08/2022 23:00:00,  262800.000,                                 752.677,                                  11.145,                                 560.289,
07/08/2022 00:00:00,  266400.000,                                 752.592,                                  11.145,                                 561.448,
