ID,WTD(mm),median,max,min,sd
BraemoreNN1,42.63241131529671,28.11926579999988,535.4883978000005,-218.30551679999985,61.32000142081571
BraemoreNN2,56.30299794011459,37.460619799999336,546.7738511000006,-206.66659089999732,57.31217255119325
FFDAMA,165.5285685999266,146.76170083000113,492.72708661,-2.6348530700008723,78.5842490139383
FFDAMB,182.79098360391632,159.91447771000014,470.62912869999917,44.912167299999744,65.49108710938286
FFDAMC,144.32642339593428,119.29511111999932,926.0908825800012,-15.800757090000504,82.73407027863479
FFNND,113.93681910621595,91.06317548999984,379.0481787899991,14.689982220000386,66.22207673422857
FFNNE,129.6149094702035,97.7041772500005,388.6461148,34.489681269998535,69.50644357857624
FFNNF,52.1735542907855,32.07623664500062,349.0425943699991,-46.5435468999998,63.32023065398809
FFRESG,162.46345903586186,113.36395712499944,455.6743002699993,48.74168854000004,99.48486515939088
FFRESH,109.38889333613088,61.883778380000315,388.17841396999876,0.4570380499994826,92.63135122835844
FFRESI,103.34866627772311,48.69685467000045,392.6134588799997,-15.470657819999476,101.90412787355251
MHDAM1,87.5410732414725,30.562145050000083,769.2926888500012,-59.13832474999925,156.8736896069516
MHDAM2,199.99015075890173,149.69600635000063,892.6410311500009,59.20702074999974,141.52500275594954
MHNN1,109.71718906397984,64.43031694999989,802.5354861500003,-32.026917549998984,136.12197284570982
MHNN2,130.71242232948129,77.44082764999979,817.6532373500014,-7.7868542500002595,143.33977352704912
MHRES1,83.5401356641493,35.928189799999245,766.1482009999999,-62.32359789999816,135.24524603446883
MHRES2,108.75963672490127,56.252864299998464,805.0709723000008,-30.82375119999961,140.8178235261968
MigDAM1,70.22744546324289,54.05813165000006,641.2508933000009,-34.806239500001304,66.62005335688525
MigDAM2,177.64584457926276,150.8076608000005,769.1943794000018,77.97871009999778,80.95243701637048
MigDAM3,85.16440855579745,66.34810205000002,690.9817690999997,-7.276162000000112,74.22094194297063
MigNN1,68.8716118824888,57.52488215000074,638.3755296500011,-25.71791515000143,63.30215460733232
MigRES1,151.14569534931275,137.13778774999994,731.5835352500011,58.952367649999466,66.37301284014342
MigRES2,35.19132796559427,28.329404899998735,597.1891741999998,-59.929984299999205,61.67443532699846
MorvenDAM1,140.20498101148794,87.4536625999998,795.5612436499994,-161.83288854999944,135.97098418901524
MorvenDAM2,141.75920949370038,90.84398191623958,801.3902288925691,-155.21668447996922,113.32272783369655
ScarabenRES1,59.762215259294564,36.96439865000185,953.1109974499992,-206.3335109499992,67.36559362855414
ScarabenRES2,48.24515127888733,30.085321850001716,542.3894751500002,-229.58108814999852,65.13630999736263
StrathyRES1,89.89205687497389,61.881263949998704,565.7156699499997,-180.573749449999,86.40484329419917
StrathyRES2,107.54266950761125,56.581411599999115,714.3667299999994,-187.4642284999996,111.87064362377475
WagRES1,74.92830308557268,44.90465340000048,564.0063566999988,-199.16817689999922,77.73107280304043
WagRES2,95.55467350112814,59.768614800000016,557.4444404999997,-181.32688859999888,100.27420303396268
